epoch,accuracy,loss,val_accuracy,val_loss
0,0.38513514399528503,1.0662086009979248,0.4533333480358124,1.0063502788543701
1,0.5743243098258972,0.9309642910957336,0.6000000238418579,0.7951365113258362
2,0.5945945978164673,0.7700602412223816,0.7333333492279053,0.6270729303359985
3,0.6689189076423645,0.6480279564857483,0.6933333277702332,0.5926997661590576
4,0.6689189076423645,0.6604602932929993,0.6266666650772095,0.6558887958526611
5,0.6756756901741028,0.6044645309448242,0.746666669845581,0.5250731110572815
6,0.7027027010917664,0.5843971371650696,0.6666666865348816,0.6053208708763123
7,0.7027027010917664,0.6373622417449951,0.7066666483879089,0.5614212155342102
8,0.7060810923576355,0.5692655444145203,0.7599999904632568,0.5142893195152283
9,0.7432432174682617,0.5510132908821106,0.7333333492279053,0.49615076184272766
10,0.7263513803482056,0.545033872127533,0.7733333110809326,0.5010067224502563
11,0.7364864945411682,0.5512067675590515,0.7599999904632568,0.46858078241348267
12,0.7297297120094299,0.5463144183158875,0.7066666483879089,0.5815143585205078
13,0.7229729890823364,0.5776544809341431,0.7333333492279053,0.505798876285553
14,0.7027027010917664,0.5846555829048157,0.7599999904632568,0.6211904883384705
15,0.7263513803482056,0.5661932826042175,0.6800000071525574,0.5598174929618835
16,0.7229729890823364,0.5697042942047119,0.7866666913032532,0.4809075891971588
